五行,無料(○),アイテム,似合う色,メモ,時間帯,九星タグ,表示文,カテゴリ,使う場面,季節タグ,重複回避タグ
木,○,観葉植物の小鉢,深緑,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「観葉植物の小鉢」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|深緑|観葉植物の小鉢
木,○,木のお箸,生成り,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木のお箸」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|生成り|木のお箸
木,○,文庫本を一冊,若草色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「文庫本を一冊」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|若草色|文庫本を一冊
木,○,リネンのハンカチ,アイボリー,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「リネンのハンカチ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|アイボリー|リネンのハンカチ
木,○,ミントのハーブティー,ミントグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ミントのハーブティー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,夏,木|日用品|ミントグリーン|ミントのハーブティー
木,○,ユーカリのスワッグ,グレイッシュグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ユーカリのスワッグ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|グレイッシュグリーン|ユーカリのスワッグ
木,○,ヒノキのアロマオイル,ベージュ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ヒノキのアロマオイル」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,香り・灯り,気分の切り替え,通年,木|香り・灯り|ベージュ|ヒノキのアロマオイル
木,○,籐のかごバッグ,ナチュラルブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「籐のかごバッグ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|ナチュラルブラウン|籐のかごバッグ
木,○,ビカクシダ（観葉植物）,フォレストグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ビカクシダ（観葉植物）」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|フォレストグリーン|ビカクシダ（観葉植物）
木,○,木製のフォトフレーム,ライトウッド,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のフォトフレーム」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ライトウッド|木製のフォトフレーム
