五行,無料(○),アイテム,似合う色,メモ,時間帯,九星タグ,表示文
木,○,観葉植物の小鉢,深緑,,朝・昼,三碧木星・四緑木星,今日は「観葉植物の小鉢」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,○,木のお箸,生成り,,朝・昼,三碧木星・四緑木星,今日は「木のお箸」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,○,文庫本を一冊,若草色,,朝・昼,三碧木星・四緑木星,今日は「文庫本を一冊」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,○,リネンのハンカチ,アイボリー,,朝・昼,三碧木星・四緑木星,今日は「リネンのハンカチ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,○,ミントのハーブティー,ミントグリーン,,朝・昼,三碧木星・四緑木星,今日は「ミントのハーブティー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,ユーカリのスワッグ,グレイッシュグリーン,,朝・昼,三碧木星・四緑木星,今日は「ユーカリのスワッグ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,ヒノキのアロマオイル,ベージュ,,朝・昼,三碧木星・四緑木星,今日は「ヒノキのアロマオイル」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,籐のかごバッグ,ナチュラルブラウン,,朝・昼,三碧木星・四緑木星,今日は「籐のかごバッグ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,ビカクシダ（観葉植物）,フォレストグリーン,,朝・昼,三碧木星・四緑木星,今日は「ビカクシダ（観葉植物）」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,木製のフォトフレーム,ライトウッド,,朝・昼,三碧木星・四緑木星,今日は「木製のフォトフレーム」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,多肉植物の寄せ植え,セージグリーン,,朝・昼,三碧木星・四緑木星,今日は「多肉植物の寄せ植え」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,グリーンのニットベスト,カーキ,,朝・昼,三碧木星・四緑木星,今日は「グリーンのニットベスト」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,竹の歯ブラシ,生成り,,朝・昼,三碧木星・四緑木星,今日は「竹の歯ブラシ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,抹茶ラテ,抹茶色,,朝・昼,三碧木星・四緑木星,今日は「抹茶ラテ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,アロマディフューザー,オフホワイト,,朝・昼,三碧木星・四緑木星,今日は「アロマディフューザー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,モンステラ（観葉植物）,ディープグリーン,,朝・昼,三碧木星・四緑木星,今日は「モンステラ（観葉植物）」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,麻のエプロン,リネンベージュ,,朝・昼,三碧木星・四緑木星,今日は「麻のエプロン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,木製のキーホルダー,チーク,,朝・昼,三碧木星・四緑木星,今日は「木製のキーホルダー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,ボタニカル柄のスカーフ,オリーブ,,朝・昼,三碧木星・四緑木星,今日は「ボタニカル柄のスカーフ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
木,,新しい手帳,モスグリーン,,朝・昼,三碧木星・四緑木星,今日は「新しい手帳」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。
火,○,小さな間接照明,アンバー,,昼・夜,九紫火星,今日は「小さな間接照明」を取り入れると、心に小さな灯りを足しやすい日です。
火,○,アロマキャンドル,テラコッタ,,昼・夜,九紫火星,今日は「アロマキャンドル」を取り入れると、心に小さな灯りを足しやすい日です。
火,○,あたたかい紅茶,ルビーレッド,,昼・夜,九紫火星,今日は「あたたかい紅茶」を取り入れると、心に小さな灯りを足しやすい日です。
火,○,赤いヘアゴム,朱色,,昼・夜,九紫火星,今日は「赤いヘアゴム」を取り入れると、心に小さな灯りを足しやすい日です。
火,○,ドライフラワー（赤系）,ボルドー,,昼・夜,九紫火星,今日は「ドライフラワー（赤系）」を取り入れると、心に小さな灯りを足しやすい日です。
火,,テラコッタのキャンドルホルダー,テラコッタ,,昼・夜,九紫火星,今日は「テラコッタのキャンドルホルダー」を取り入れると、心に小さな灯りを足しやすい日です。
火,,シナモンのチャイ,シナモンブラウン,,昼・夜,九紫火星,今日は「シナモンのチャイ」を取り入れると、心に小さな灯りを足しやすい日です。
火,,朱色のリップ,朱赤,,昼・夜,九紫火星,今日は「朱色のリップ」を取り入れると、心に小さな灯りを足しやすい日です。
火,,ガラスのランタン,琥珀色,,昼・夜,九紫火星,今日は「ガラスのランタン」を取り入れると、心に小さな灯りを足しやすい日です。
火,,赤いソックス,レッド,,昼・夜,九紫火星,今日は「赤いソックス」を取り入れると、心に小さな灯りを足しやすい日です。
火,,スパイスカレー,ターメリック,,昼・夜,九紫火星,今日は「スパイスカレー」を取り入れると、心に小さな灯りを足しやすい日です。
火,,コーラルのネイル,コーラルピンク,,昼・夜,九紫火星,今日は「コーラルのネイル」を取り入れると、心に小さな灯りを足しやすい日です。
火,,真鍮のキャンドルスタンド,ブラス,,昼・夜,九紫火星,今日は「真鍮のキャンドルスタンド」を取り入れると、心に小さな灯りを足しやすい日です。
